GeneASymbol	GeneAid	GeneBSymbol	GeneBid	PubmedID Evidence Score	Type	
BLM	41366	MUS312	38809	19595722	BioGrid	0.8	SL
DRP1	33445	PINK1	31607	21151574	BioGrid	0.8	SL
RBF	31027	WG	34009	24809668	Text Mining	1	SL
GIG	40201	RBF	31027	21814623;23447678	Text Mining	0.75	SL
RBF	31027	TSC1	42862	23447678	Text Mining	0.75	SL
BSK	44801	RBF	31027	23447678	Text Mining	1	SL
RBF	31027	SDT	44861	24809668	Text Mining	1	SL
MMS4	36136	MUS81	31044	17603121	Text Mining	0.75	SL
BLM	41366	MUS81	31044	17603121	Text Mining	1	SL
MUS81	31044	SPN-A	43577	17603121;19543366	Text Mining;GenomeRNAi	0.47	SL
DAP	36001	RB	31381	23447678	Text Mining	0.25	SL
LKB1	41673	RB	31381	23447678	Text Mining	0.25	SL
BSK	44801	RB	31381	23447678	Text Mining	0.25	SL
LOK	35288	MOF	31518	23347679	Text Mining	0.25	SL
ADE2	33847	PRAT	40935	21441212	Text Mining	0.5	SL
BLM	41366	MMS4	36136	17603121	Text Mining	1	SL
MMS4	36136	SPN-A	43577	17603121	Text Mining	0.25	SL
CRTC	39970	RBF	31027	23447678	Text Mining	1	SL
CRTC	39970	RB	31381	23447678	Text Mining	0.25	SL
CRTC	39970	DAP	36001	23447678	Text Mining	0.25	SL
CRTC	39970	LKB1	41673	23447678	Text Mining	0.25	SL
BSK	44801	CRTC	39970	23447678	Text Mining	1	SL
CRTC	39970	RHEB	117332	23447678	Text Mining	0.25	SL
GIG	40201	RB	31381	23447678	Text Mining	0.75	SL
DAP	36001	GIG	40201	23447678	Text Mining	0.25	SL
CRTC	39970	GIG	40201	23447678	Text Mining	0.25	SL
GIG	40201	LKB1	41673	23447678	Text Mining	0.25	SL
GIG	40201	TSC1	42862	16115814;23447678	Text Mining	0.81	SL
BSK	44801	GIG	40201	23447678	Text Mining	0.25	SL
GIG	40201	RHEB	117332	23447678	Text Mining	0.25	SL
ADE2	33847	RPLP0	40541	21441212	Text Mining	0.25	SL
PRAT	40935	RPLP0	40541	21441212	Text Mining	0.25	SL
DAP	36001	LKB1	41673	23447678	Text Mining	0.25	SL
BSK	44801	LKB1	41673	23447678	Text Mining	0.25	SL
RB	31381	TSC1	42862	23447678	Text Mining	0.25	SL
DAP	36001	TSC1	42862	23447678	Text Mining	0.25	SL
CRTC	39970	TSC1	42862	23447678	Text Mining	0.25	SL
LKB1	41673	TSC1	42862	23447678	Text Mining	0.25	SL
BSK	44801	TSC1	42862	23447678	Text Mining	0.25	SL
RHEB	117332	TSC1	42862	23447678	Text Mining	0.25	SL
AXN	43565	CRTC	39970	24809668	Text Mining	0.25	SL
BSK	44801	DAP	36001	23447678	Text Mining	0.25	SL
RBF	31027	RHEB	117332	23447678	Text Mining	0.5	SL
RB	31381	RHEB	117332	23447678	Text Mining	0.5	SL
DAP	36001	RHEB	117332	23447678	Text Mining	0.25	SL
LKB1	41673	RHEB	117332	23447678	Text Mining	0.25	SL
BSK	44801	RHEB	117332	23447678	Text Mining	0.25	SL
CDC45L	31052	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG11409	31078	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG11412	31079	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CRN	31208	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
PSGEF	31224	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG12496	31226	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
FS(1)YA	31263	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG14421	31285	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
DM	31310	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
CG43689	31353	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	XPAC	31357	19543366	GenomeRNAi	0.75	SL
SPN-A	43577	TIP60	31362	19543366	GenomeRNAi	0.5	SL
MEI-9	31373	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG32772	31420	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	TRXT	31443	19543366	GenomeRNAi	0.5	SL
DHD	31444	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	VSX2	31469	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	VSX1	31470	19543366	GenomeRNAi	0.75	SL
RAPTOR	31543	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPL7A	31588	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG1409	31689	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPS6	31700	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
FS(1)H	31722	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	TRXR-1	31760	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	TRF2	31773	19543366	GenomeRNAi	0.75	SL
OGG1	31806	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RDGA	31826	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG12121	31866	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG32700	31896	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPS28B	31897	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
L(1)G0230	31950	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG43347	31991	SPN-A	43577	19543366	GenomeRNAi	0.75	SL
MYO10A	32028	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CG44422	32063	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
DSH	32078	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
RPA3	32113	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
CHRAC-16	32166	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
SPN-A	43577	TEN-A	32183	19543366	GenomeRNAi	0.5	SL
CG2577	32188	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
PROC	250710	SPN-A	43577	19543366	GenomeRNAi	0.5	SL
