gene_a.name,gene_a.identifier,gene_b.name,gene_b.identifier,SL.cellline,SL.pubmed_id,SL.source,SL.statistic_score
PYCR3,65263,TP53,7157,null,26427375,computer analysis,0.3
PYCR3,65263,RECQL4,9401,null,25171417,Daisy,0.2
PYCR3,65263,SCRIB,23513,null,25171417,Daisy,0.2
PYCR3,65263,BRCA1,672,null,26427375,computer analysis,0.3
PYCR3,65263,TSTA3,7264,null,25171417,Daisy,0.2
KCND3,3752,OMD,4958,null,25171417,computer analysis,0.3
KCND3,3752,EMX1,2016,null,25171417,computer analysis,0.3
KCND3,3752,MEOX2,4223,null,25171417,computer analysis,0.3
KCND3,3752,PPP1R3A,5506,null,25171417,computer analysis,0.3
TG,7038,TP53,7157,null,26427375,computer analysis,0.3
TG,7038,ATM,472,null,26427375,computer analysis,0.3
DEPP1,11067,UNCX,340260,null,29959327,ISLE,0.3
CD96,10225,HRAS,3265,null,19490893,GenomeRNAi,0.458
CD96,10225,NRAS,4893,null,19490893,GenomeRNAi,0.458
CD96,10225,KRAS,3845,null,19490893,Text Mining,0.6
EPB42,2038,PTGS1,5742,null,20609354,GenomeRNAi,0.506
EPB42,2038,ORM1,5004,null,20609354,GenomeRNAi,0.506
EPB42,2038,SLC22A2,6582,null,20609354,GenomeRNAi,0.506
EPB42,2038,SLC22A1,6580,null,20609354,GenomeRNAi,0.506
EPB42,2038,RET,5979,null,20609354,GenomeRNAi,0.506
EPB42,2038,KIT,3815,null,20609354,GenomeRNAi,0.506
EPB42,2038,PDGFRB,5159,null,20609354,GenomeRNAi,0.506
EPB42,2038,NAE1,8883,null,23100467,GenomeRNAi,0.575
EPB42,2038,PDGFRA,5156,null,20609354,GenomeRNAi,0.506
EPB42,2038,NTRK1,4914,null,20609354,GenomeRNAi,0.506
SMG6,23293,DCTN1,1639,null,25171417,computer analysis,0.3
ADGRG1,9289,HRAS,3265,null,19490893,GenomeRNAi,0.512
ADGRG1,9289,KRAS,3845,null,19490893,Text Mining,0.6
ADGRG1,9289,NRAS,4893,null,19490893,GenomeRNAi,0.512
C17orf67,339210,LPP,4026,null,29959327,ISLE,0.3
TAP2,6891,TUBB1,81027,null,17000754,GenomeRNAi,0.5
TAP2,6891,ZBTB47,92999,null,29959327,ISLE,0.3
RNF6,6049,SDHD,6392,null,25171417,computer analysis,0.3
CREBZF,58487,POU2F1,5451,null,25171417,computer analysis,0.3
CREBZF,58487,PUM2,23369,null,25171417,computer analysis,0.3
CREBZF,58487,IQCB1,9657,null,25171417,computer analysis,0.3
CREBZF,58487,SPCS2,9789,null,25171417,Daisy,0.2
CREBZF,58487,KRAS,3845,null,22613949,Text Mining,0.6
GLE1,2733,TMED2,10959,null,25171417,computer analysis,0.3
GLE1,2733,GRID2,2895,null,25171417,computer analysis,0.3
GLE1,2733,GLUD2,2747,null,25171417,Daisy,0.17
GLE1,2733,CD46,4179,null,25171417,computer analysis,0.3
GLE1,2733,POLE3,54107,null,25171417,Daisy,0.2
GLE1,2733,SPTLC1,10558,null,25171417,Daisy,0.2
GLE1,2733,TBL1XR1,79718,null,25171417,computer analysis,0.3
ECH1,1891,HRAS,3265,null,19490893,GenomeRNAi,0.479
ECH1,1891,KRAS,3845,null,19490893,GenomeRNAi,0.479
ECH1,1891,RBM24,221662,null,29959327,ISLE,0.3
ECH1,1891,NRAS,4893,null,19490893,GenomeRNAi,0.479
ECH1,1891,TXNDC5,81567,null,29959327,ISLE,0.3
FANCI,55215,TOPBP1,11073,null,25171417,computer analysis,0.3
FANCI,55215,LIG1,3978,null,25171417,computer analysis,0.3
FANCI,55215,SIRT7,51547,null,29959327,ISLE,0.3
FANCI,55215,NAE1,8883,null,23100467,GenomeRNAi,0.5
FANCI,55215,BUB1,699,null,25171417,computer analysis,0.3
FANCI,55215,RFC4,5984,null,25171417,Daisy,0.2
FANCI,55215,SKP2,6502,null,25171417,computer analysis,0.3
