gene_a.name,gene_a.identifier,gene_b.name,gene_b.identifier,SL.cellline,SL.pubmed_id,SL.source,SL.statistic_score
Cdkn1a,12575,Trp53,22059,null,23115424;22611192;22430210;19654313;23470565,Text Mining,1.0
Cdkn1a,12575,Chek1,12649,null,22430210,Text Mining,0.5
Cdkn1a,12575,Timm8a1,30058,null,23470565,Text Mining,0.25
Cdkn1a,12575,Cdkn1b,12576,null,23470565,Text Mining,0.25
Bach1,12013,Maf,17132,null,10716933,Text Mining,0.5
Cenpc1,12617,Myc,17869,null,24893165,Text Mining,0.25
Cenpc1,12617,Trp53,22059,null,24893165,Text Mining,0.25
Akt1,11651,Pik3r1,18708,null,20442202;23258740;22802621;21144036,Text Mining,0.68
Akt1,11651,Cux1,13047,null,20442202,Text Mining,0.75
Akt1,11651,Cip2a,224171,null,24954871,Text Mining,0.5
Akt1,11651,Jun,16476,null,23566222,Text Mining,0.25
Akt1,11651,Notch1,18128,null,20570903,Text Mining,0.75
Akt1,11651,Atg5,11793,null,23555162,Text Mining,0.25
Akt1,11651,Vav1,22324,null,23566222,Text Mining,0.25
Akt1,11651,Mtor,56717,null,23555162;20811722,Text Mining,0.43
Akt1,11651,Vav3,57257,null,23566222,Text Mining,0.25
Akt1,11651,Map1lc3a,66734,null,23555162,Text Mining,0.25
Akt1,11651,Casp9,12371,null,23566222,Text Mining,0.25
Akt1,11651,Ppp2ca,19052,null,24954871,Text Mining,0.25
Akt1,11651,Mapk8,26419,null,23566222,Text Mining,0.25
Akt1,11651,Ephb2,13844,null,23070002;23566222;23684925,Text Mining,0.57
Akt1,11651,Bcl2,12043,null,20442202,Text Mining,0.25
Akt1,11651,Egfr,13649,null,24954871;20570903;23578175,Text Mining,1.0
Akt1,11651,Casp3,12367,null,23555162;23566222,Text Mining,0.43
Akt1,11651,Parp1,11545,null,20442202;22695120;21144036;24954871,Text Mining,0.57
Akt1,11651,Ar,11835,null,23566222,Text Mining,0.25
Cdc25a,12530,Nprl2,56032,null,20700484,Text Mining,0.25
Cdc25a,12530,Cdc25c,12532,null,20700484,Text Mining,0.25
Cdc25a,12530,Chek1,12649,null,20700484,Text Mining,0.25
Cdc25a,12530,Chek2,50883,null,20700484,Text Mining,0.25
Cdc25a,12530,Trp53,22059,null,17638870,Text Mining,0.25
Rad51,19361,Trp53bp1,27223,null,20924112;20233726,Text Mining,0.43
Rad54l,19366,Parp1,11545,null,29254138,BioGrid,0.4
Trp53bp1,27223,Terf1,21749,null,22508511,BioGrid,0.4
