gene_a.name,gene_a.identifier,gene_b.name,gene_b.identifier,SL.cellline,SL.pubmed_id,SL.source,SL.statistic_score
SDH3,853716,URA1,853664,null,16941010,BioGrid,0.45
GLT1,851383,GPD2,854095,null,23801122,BioGrid,0.4
MRK1,851480,YGK3,853992,null,12529445,BioGrid,0.4
MRK1,851480,MCK1,855409,null,12529445,BioGrid,0.4
snR81,9164973,PUS1,855889,null,26873591,BioGrid,0.4
OSH7,856389,SWH1,851286,null,11238399,BioGrid,0.4
SNF3,851333,GPR1,851527,null,25541485,BioGrid,0.4
SNF3,851333,HXT2,855023,null,23234240,BioGrid,0.4
SNF3,851333,RTG2,852640,null,10373505,BioGrid,0.4
SGS1,855228,LST8,855726,null,23390603,BioGrid,0.25
SGS1,855228,LSM3,851159,null,23390603,BioGrid,0.25
SGS1,855228,SNU114,853681,null,23390603,BioGrid,0.25
SGS1,855228,SMD1,852964,null,23390603,BioGrid,0.25
SGS1,855228,UTP21,851125,null,23390603,BioGrid,0.25
SGS1,855228,SDO1,850709,null,23390603,BioGrid,0.25
SGS1,855228,NOP8,854021,null,23390603,BioGrid,0.25
SGS1,855228,SUA5,852707,null,23390603,BioGrid,0.25
SGS1,855228,CSM1,850447,null,16487579,BioGrid,0.25
SGS1,855228,RSA4,850435,null,23390603,BioGrid,0.25
SGS1,855228,UFD1,852939,null,23390603,BioGrid,0.25
SGS1,855228,PRP31,852983,null,23390603,BioGrid,0.25
SGS1,855228,MSL5,850807,null,23390603,BioGrid,0.25
SGS1,855228,YEN1,856764,null,25030699,BioGrid,0.4
SGS1,855228,TFB1,851906,null,23390603,BioGrid,0.25
SGS1,855228,ALG14,852362,null,23390603,BioGrid,0.25
SGS1,855228,URC2,852133,null,16487579,BioGrid,0.25
SGS1,855228,YTM1,854446,null,23390603,BioGrid,0.25
SGS1,855228,SMC5,854123,null,23390603,BioGrid,0.25
SGS1,855228,HEM15,854347,null,23390603,BioGrid,0.25
SGS1,855228,SLX8,856852,null,25588990,BioGrid,0.4
SGS1,855228,SPC34,853909,null,23390603,BioGrid,0.25
SGS1,855228,NOP58,854487,null,23390603,BioGrid,0.25
SGS1,855228,ORC2,852352,null,23390603,BioGrid,0.25
SGS1,855228,GAS5,854127,null,15525520,BioGrid,0.25
SGS1,855228,NUP60,851263,null,22820947,BioGrid,0.4
SGS1,855228,PRP2,855745,null,23390603,BioGrid,0.25
SGS1,855228,ACP1,853642,null,23390603,BioGrid,0.25
SGS1,855228,TOM40,855243,null,23390603,BioGrid,0.25
SGS1,855228,TRZ1,853954,null,23390603,BioGrid,0.25
